name,lat,lon
KM 33.9,-33.6506831321786,-70.88198567986
KM 34,-33.6511891482697,-70.8828690554
KM 34.1,-33.6516756481973,-70.88376658485
KM 34.2,-33.652187617674,-70.88469925718
KM 34.3,-33.6527073466637,-70.88560844363
KM 34.4,-33.6531878707408,-70.88646142257
KM 34.5,-33.6537037184679,-70.88738942027
KM 34.6,-33.6541823452191,-70.88827528891
KM 34.7,-33.6547040065145,-70.88918685879
KM 34.8,-33.6551845496615,-70.89006100382
KM 34.9,-33.6556827326351,-70.89096327741
KM 35,-33.6562024261527,-70.89187723378
KM 35.1,-33.6566927556399,-70.89276781589
KM 35.2,-33.6571869577148,-70.89364430994
KM 35.4,-33.6576851295732,-70.89455366804
KM 35.4,-33.658187210142,-70.89546771825
KM 35.5,-33.6586892172298,-70.89634891527
KM 35.6,-33.6591833976168,-70.89722779635
KM 35.7,-33.6597030866976,-70.89816295464
KM 35.8,-33.6602051697944,-70.89909113289
KM 35.9,-33.6606954413023,-70.89997944619
KM 36,-33.6611680325868,-70.90082321881
KM 36.1,-33.6616661363097,-70.90171609431
KM 36.2,-33.6621741538195,-70.90261512554
KM 36.3,-33.66267562729,-70.90353261849
KM 36.4,-33.6631630964991,-70.90440186072
KM 36.5,-33.6636645145448,-70.90529830957
KM 36.6,-33.6641659574487,-70.90621056756
KM 36.7,-33.6646651407045,-70.90709124507
KM 36.8,-33.6651709585607,-70.90800614376
KM 36.9,-33.6656635954024,-70.90890792502
KM 37,-33.6661753518252,-70.90981759869
KM 37.1,-33.666676359828,-70.91072150453
KM 37.2,-33.667167934004,-70.91160701276
KM 37.3,-33.6676714779459,-70.91253739464
KM 37.4,-33.6681626384373,-70.91340797455
KM 37.5,-33.6686665270449,-70.91434464631
KM 37.6,-33.6691760326772,-70.91522346107
KM 37.7,-33.669662616976,-70.91610923721
KM 37.8,-33.6701619941915,-70.91700338363
KM 37.9,-33.6706723663711,-70.91791150085
KM 38,-33.6711564998071,-70.91881339797
KM 38.1,-33.6716388477472,-70.91969850649
KM 38.2,-33.67215269254,-70.92060454697
KM 38.3,-33.6726718211904,-70.92153579073
KM 38.4,-33.6731681457012,-70.92242719466
KM 38.5,-33.6736732495662,-70.923343792
KM 38.6,-33.6741975638132,-70.92425404941
KM 38.7,-33.6746728239436,-70.92510773129
KM 38.8,-33.6751638635728,-70.92599078854
KM 38.9,-33.6756601861902,-70.92689904825
KM 39,-33.6761519833984,-70.92777935396
KM 39.1,-33.6766506620977,-70.92868123492
KM 39.2,-33.6771772095939,-70.92960455861
KM 39.3,-33.677673862458,-70.93049213123
KM 39.4,-33.6781884581549,-70.93141073067
KM 39.5,-33.6786731559218,-70.93229118592
KM 39.6,-33.6791737655543,-70.93317877911
KM 39.7,-33.6796743939253,-70.93408072085
KM 39.8,-33.6801650448852,-70.93496596922
KM 39.9,-33.6806735969075,-70.93585835217
KM 40,-33.6811961704196,-70.93681522507
KM 40.1,-33.6816887942612,-70.93770289033
KM 40.2,-33.6821953583631,-70.93860725708
KM 40.3,-33.6826779596265,-70.93945434309
KM 40.4,-33.6831586029283,-70.9403229517
KM 40.5,-33.6836551902717,-70.94121781332
KM 40.6,-33.6841558078386,-70.94214851901
KM 40.7,-33.6846623477446,-70.9430577154
KM 40.8,-33.6851688691913,-70.9439597526
KM 40.9,-33.6856594648012,-70.94485466856
KM 41,-33.6861998642727,-70.9458116094
KM 41.1,-33.6866485781301,-70.94663496175
KM 41.2,-33.6871501959514,-70.94752261754
KM 41.3,-33.6876315502932,-70.94839173431
KM 41.4,-33.6881609945073,-70.94932344477
KM 41.5,-33.6886695495534,-70.9502451916
KM 41.6,-33.6891717879851,-70.95113686223
KM 41.7,-33.6896656766985,-70.95203107291
KM 41.8,-33.6902200314946,-70.95289756931
KM 41.9,-33.6907180257108,-70.95375667887
KM 42,-33.6912119000555,-70.9546534273
KM 42.1,-33.6917131549257,-70.95555170101
KM 42.2,-33.6922092161578,-70.95646118777
KM 42.3,-33.6926954540313,-70.95736325603
KM 42.4,-33.6932007732251,-70.95825581337
KM 42.5,-33.6937109785331,-70.95914874699
KM 42.6,-33.6942006320896,-70.96003624887
KM 42.7,-33.6946788458243,-70.96090733011
KM 42.8,-33.695205331401,-70.96182013352
KM 42.9,-33.6957038277611,-70.96272891098
KM 43,-33.6962391632791,-70.96366298316
KM 43.1,-33.6967224370099,-70.96453386173
KM 43.2,-33.6971955145105,-70.96539153355
KM 43.3,-33.6977034225365,-70.96630923808
KM 43.4,-33.6981907594586,-70.96720779749
KM 43.5,-33.6987261232515,-70.9681858068
KM 43.6,-33.6991540176725,-70.96911776135
KM 43.7,-33.6994794258813,-70.97011595679
KM 43.8,-33.6997456549867,-70.97117638231
KM 43.9,-33.6999198369362,-70.97213477578
KM 44,-33.7001639390693,-70.97317180153
KM 44.1,-33.700361602021,-70.97418894969
KM 44.2,-33.700590518472,-70.97529199234
KM 44.3,-33.7008163858578,-70.9763355945
KM 44.4,-33.7010254547482,-70.97736919075
KM 44.5,-33.7011501522632,-70.97844958492
KM 44.6,-33.7013545918031,-70.97944754322
KM 44.7,-33.7015888149732,-70.98053870616
KM 44.8,-33.7018138989328,-70.98162988776
KM 44.9,-33.7020298193564,-70.98269915982
KM 45,-33.702238817654,-70.98371907494
KM 45.1,-33.7024661482309,-70.98480478448
KM 45.2,-33.7026751437527,-70.98583568312
KM 45.3,-33.7028864370635,-70.98688577628
KM 45.4,-33.7030956649482,-70.9879023707
KM 45.5,-33.7033047434982,-70.98896945553
KM 45.6,-33.7035158999913,-70.990011065
KM 45.7,-33.7037333869187,-70.99103737931
KM 45.8,-33.7039445450891,-70.99209428752
KM 45.9,-33.7041747736293,-70.99315371212
KM 46,-33.7043901289512,-70.99419023842
KM 46.1,-33.7045671830065,-70.99511219297
KM 46.2,-33.7048017428984,-70.99626843923
KM 46.3,-33.7050298786315,-70.99737884354
KM 46.4,-33.7052345666052,-70.9983873841
KM 46.5,-33.705469,-70.999453
KM 46.6,-33.7056609406965,-71.00046050434
KM 46.7,-33.70587418167,-71.00153964981
KM 46.8,-33.706100009046,-71.00257276763
KM 46.9,-33.7062956149537,-71.003622318
KM 47,-33.706509726399,-71.00466170806
KM 47.1,-33.7067220607347,-71.00570287522
KM 47.2,-33.7068942879878,-71.00678311458
KM 47.3,-33.706895493291,-71.00784808568
KM 47.4,-33.7067440446746,-71.00887253715
KM 47.5,-33.7064187943074,-71.0098998126
KM 47.6,-33.706053,-71.010865
KM 47.7,-33.7057045157919,-71.01180157519
KM 47.8,-33.705335,-71.012806
KM 47.9,-33.704963,-71.013785
KM 48,-33.704612,-71.014789
KM 48.1,-33.704253,-71.015783
KM 48.2,-33.703876,-71.01678
KM 48.3,-33.70352,-71.017777
KM 48.4,-33.7031616384096,-71.01872056692
KM 48.5,-33.70277998958,-71.01973991753
KM 48.6,-33.7024232318895,-71.02071281331
KM 48.7,-33.7020482842657,-71.02173229324
KM 48.8,-33.7016915114725,-71.0227051737
KM 48.9,-33.7013142634981,-71.02371916022
KM 49,-33.7009688439437,-71.02466735645
KM 49.1,-33.7006143189469,-71.02563199235
KM 49.2,-33.7002461597364,-71.02664320291
KM 49.3,-33.6998757029915,-71.02764345061
KM 49.4,-33.6995113820978,-71.02864094273
KM 49.5,-33.6991522766157,-71.02961377221
KM 49.6,-33.6987886169329,-71.0305975526
KM 49.7,-33.6984204143837,-71.03160597954
KM 49.8,-33.6980612747898,-71.03256782375
KM 49.9,-33.6977044244521,-71.03354882999
KM 50,-33.6973361925277,-71.03455175537
KM 50.1,-33.6969588602541,-71.03557933214
KM 50.2,-33.6965905951841,-71.03656306722
